Movie_Title,Rank,Year,Score,Adjusted_Score,Director,Cast,Critics_Consensus,Synopsis
Running Scared,140,1986,57%,58.22%,Peter Hyams,"Gregory Hines, Billy Crystal, Jimmy Smits, Steven Bauer","Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Distinguished by a sharp, witty dialogue between its two cop protagonists, Ray and Danny (Gregory Hines and Billy Crystal), this..."
Equilibrium,139,2002,41%,43.025%,Kurt Wimmer,"Christian Bale, Emily Watson, Taye Diggs, Angus Macfadyen",Equilibrium is a reheated mishmash of other sci-fi movies.,"In the nation of Libria, there is always peace among men. The rules of the Librian system are simple. If..."
Hero,138,2004,95%,100.865%,Zhang Yimou,"Jet Li, Tony Leung Chiu Wai, Maggie Cheung, Daoming Chen","With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",Hero is two-time Academy Award nominee Zhang Yimou's directorial attempt at exploring the concept of a Chinese hero. During the...
Road House,137,1989,39%,41.989%,Rowdy Herrington,"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara",Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,Dalton (Swayze) is a true gentleman with a degree in philosophy from NYU. He also has a flip side -...
Unstoppable,136,2010,87%,92.685%,Tony Scott,"Denzel Washington, Chris Pine, Rosario Dawson, Ethan Suplee","As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","In this action thriller from director Tony Scott, rookie train operator Will (Chris Pine) and grizzled veteran engineer Frank (Denzel..."
Shaft,135,1971,88%,92.163%,Gordon Parks,"Richard Roundtree, Moses Gunn, Gwen Mitchell, Christopher St. John","This is the man that would risk his neck for his brother, man. Can you dig it?","Shaft, a highly successful film, spawned an industry of sequels and imitations. The daughter (Sherri Brewer) of Bumpy Jones (Moses..."
The Villainess (Ak-Nyeo),134,2017,85%,87.896%,Jung Byung-gil,"Ok-bin Kim, Kim Seo-hyeong, Shin Ha-kyun, Bang Sung-jun",The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"Since she was a little girl, Sook-hee was raised to be a deadly assassin. She gladly accepts the chance to..."
Highlander,133,1986,69%,71.805%,Russell Mulcahy,"Christopher Lambert, Sean Connery, Roxanne Hart, Clancy Brown","People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.","Among humans for centuries, an immortal specie existed. Connor MacLeod is a member of this specie. Unaware of his powers,..."
Die Hard 2,132,1990,69%,73.338%,Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald VelJohnson","It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","""Another basement, another elevator...how can the same thing happen to the same guy twice?"" asks John McClane (Bruce Willis), in..."
National Treasure,131,2004,46%,50.908%,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean","National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.","Benjamin Franklin Gates is a third generation treasure hunter. All his life, Gates has been searching for a treasure no..."
